9,1,0,25,9,36,22,4,9,2,9,0,0,0,0.2963,0,0,0,1,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,1
2,1,0,12,14,0,1,12,2,0,77,1,0,0,0.75,0,0,37,4,2,1,0,-1,0,1,0,-1,0,1,1,-1,1,1,0,-1,0,-1,-1,1,0,0,1
8,1,0,14,65,20,1,13,3,0.57143,552,1,1,0,0.2449,0,0,67.75,26,5.875,2,1,-1,0,1,1,1,0,1,1,-1,1,0,0,-1,-1,-1,-1,1,1,1,1
8,1,0,10,29,20,1,10,3,0.71429,125,1,1,0,0.2449,0,0,14.375,3,1.25,1,1,-1,0,1,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,1,0,1,1
16,1,0,4,29,58,1,3,15,0.85833,199,1,0,0,0.27778,0,0,10.938,9,1.5625,2,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,0,0,-1,-1,-1,1
1,1,0,15,1,0,12,3,1,2,1,0,0,0,1,0,0,0,1,1,1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,1,0,0,-1,-1,-1,1
53,1,0,37,144,1172,9,30,47,0.94157,1164,0.96154,4,0,0.13462,0,0,20.472,39,1.8302,4,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,0,1,-1,-1,1
3,2,0,10,32,3,0,10,3,1.5,212,1,0,0.75,0.55556,0,0,69,12,4.3333,1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1
8,1,0,13,35,20,1,13,3,0.71429,152,1,1,0,0.2449,0,0,17.75,5,1.5,1,1,-1,0,1,1,1,0,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,-1
6,1,0,17,32,11,1,16,2,1.0444,244,0.77778,1,0,0.33333,0,0,38.167,13,2.8333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8,1,0,11,56,20,1,10,4,0.71429,468,1,1,0,0.2619,0,0,57,31,5.125,3,1,-1,0,1,1,1,0,1,1,-1,1,0,0,-1,-1,-1,-1,1,1,1,1
3,4,0,4,13,1,0,4,3,2,35,0,0,0.96429,0.55556,1,6,10.667,1,0.6667,2,-1,0,0,-1,-1,-1,0,-1,0,1,-1,-1,0,0,0,0,0,-1,0,1,1
12,1,0,29,64,38,1,28,11,0.81818,394,1,2,0,0.23864,0,0,31.333,11,2.0833,3,-1,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,1
4,1,0,17,57,2,1,16,2,0.58333,503,1,0,0,0.33333,0,0,123.75,30,7.75,2,0,0,0,-1,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,1
4,2,0,10,36,2,0,10,3,0.81481,386,1,0,0.6,0.66667,0,0,93.25,17,4.5,1,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,-1,-1,-1
10,1,0,15,53,25,8,7,7,0.22222,537,1,0,0,0.22222,0,0,52.6,10,2.9,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1
7,1,0,9,17,13,1,8,3,0.66667,69,1,1,0,0.25,0,0,8.5714,2,0.8571,1,1,-1,0,1,1,1,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,0,1,1
47,1,0,42,105,589,23,20,45,0.86087,933,0.9,1,0,0.14493,0,0,18.638,8,2.0426,1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,-1
